#,g0,logU-Theta=1,logU-Theta=0.5,g0,logU-Theta=1,logU-Theta=0.5,g0
1,2,0.30,0.30,1,0.00,0.00,
2,1,0.00,0.00,2,0.30,0.30,1
3,2,0.32,0.49,1,0.00,0.00,2
4,1,0.01,0.13,2,0.30,0.30,1
5,6,0.78,0.78,1,0.00,0.00,2
6,9,0.97,1.00,6,0.78,0.78,1
7,4,0.61,0.66,9,0.95,0.97,6
8,9,0.94,0.97,4,0.60,0.61,9
9,6,0.75,0.77,9,0.92,0.94,4
10,1,0.00,0.00,6,0.73,0.75,9
11,2,0.31,0.60,1,0.00,0.00,6
12,1,0.01,0.15,2,0.31,0.31,1
13,6,0.77,0.81,1,0.00,0.01,2
14,9,0.98,1.04,6,0.76,0.77,1
15,4,0.65,0.79,9,0.91,0.94,6
16,9,0.91,0.94,4,0.62,0.72,9
17,6,0.72,0.75,9,0.89,0.92,4
18,1,0.00,0.00,6,0.69,0.71,9
19,2,0.34,0.60,1,0.00,0.00,6
20,1,0.07,0.55,2,0.34,0.54,1
21,10,1.08,1.49,15,1.36,1.52,10
22,21,1.48,1.88,28,1.75,1.92,21
23,28,1.62,2.03,25,1.64,1.89,28
24,7,1.02,1.51,6,0.86,1.22,25
25,6,0.81,1.16,7,0.89,1.13,6
26,25,1.43,1.74,30,1.63,1.80,25
27,28,1.52,1.76,21,1.46,1.66,28
28,21,1.47,1.60,10,1.02,1.28,21
29,2,0.36,0.58,1,0.01,0.18,10
30,1,0.00,0.03,2,0.30,0.30,1
31,6,0.73,0.77,1,0.00,0.00,2
32,9,0.91,1.01,6,0.64,0.70,1
34,9,0.83,0.89,4,,,9
36,1,0.00,0.00,6,0.62,0.66,9
37,2,0.36,0.70,1,0.00,0.00,6
38,1,0.10,0.70,2,0.34,0.53,1
39,10,1.08,1.50,1,1.18,1.41,10
40,21,1.53,1.99,28,1.66,1.91,21
48,1,0.00,0.02,2,0.30,0.30,1
50,9,0.73,0.88,6,0.52,0.61,1
56,1,0.36,0.92,2,0.62,0.85,1
57,10,1.41,1.85,21,1.47,1.71,10
70,1,0.02,0.21,2,0.30,0.31,
82,9,0.26,0.54,6,0.32,0.40,1
